rank,event_id,date,year,event_type,score,mean_distance,visibility_modifier
1,ecl_1433_06_17,1433-06-17,1433,total_solar,0.07588394335721854,0.09741199404007515,0.779
2,ecl_1436_09_04,1436-09-04,1436,solar_partial,0.07994972384072115,0.09894767802069449,0.808
3,ecl_1428_11_26,1428-11-26,1428,solar_partial,0.11581820431585517,0.14124171258031118,0.8200000000000001
4,ecl_1415_03_07,1415-03-07,1415,solar_partial,0.2589672867835186,0.30341802786586836,0.8534999999999999
5,ecl_1409_12_22,1409-12-22,1409,solar_partial,0.2818896199116051,0.3256956902502659,0.8654999999999999
